ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
1,Gateway North,#058,500013501585,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13433 Gateway Dr,Credit Card/PayByPhone,,49.200693,-122.851779
1,Gateway North,#060,500013501587,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,13433 Gateway Dr,Credit Card/PayByPhone,,49.201333,-122.852172
1,Gateway North,#059,500013501586,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,10898 133A St,Credit Card/PayByPhone,,49.201363,-122.852513
11,102 Avenue,#062,600101495,Paystation,MACKAY SOLO SINGLE-SPACE,24 Hours,7 Days/Week,1.5,$7.00,All Day,,,4314,Surrey,On,On-Street Parking,2,13450 102 Ave,Cash/Credit Card/PayByPhone,,49.188246,-122.849357
11,102 Avenue,#063,600101496,Paystation,MACKAY SOLO SINGLE-SPACE,24 Hours,7 Days/Week,1.5,$7.00,All Day,,,4314,Surrey,On,On-Street Parking,2,13450 102 Ave,Cash/Credit Card/PayByPhone,,49.188246,-122.849357
9,103 Avenue,#061,500013271024,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,1.5,$7.00,All Day,,,4306,Surrey,On,On-Street Parking,7,10388 City Parkway,Credit Card/PayByPhone,,49.190146,-122.846605
1,Gateway North,#057,500013501584,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4317,Surrey,On,On-Street Parking,222,10925 University Dr,Credit Card/PayByPhone,,49.200522,-122.851917
10,100 Avenue,#044,14770,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$3.00,All Day,,,4313,Surrey,On,On-Street Parking,24,13720 100 Ave,Cash/Credit Card/PayByPhone,,49.184141,-122.84147
10,100 Avenue,#045,14771,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$3.00,All Day,,,4313,Surrey,On,On-Street Parking,24,13778 100 Ave,Cash/Credit Card/PayByPhone,,49.184122,-122.840299
23,133/133A Street On-Street,#065,520014451699,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10335 133 St,Credit Card/PayByPhone,,49.190463,-122.854361
23,133/133A Street On-Street,#066,520014451700,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10290 133 St,Credit Card/PayByPhone,,49.189616,-122.854178
23,133/133A Street On-Street,#067,520014451701,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,13321 102A Ave,Credit Card/PayByPhone,,49.188924,-122.85315
23,133/133A Street On-Street,#068,520014451702,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,1,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10297 133A St,Credit Card/PayByPhone,,49.189319,-122.85218
