Variables ,description of variables,Codes 
EfficacyExercise2,I can exercise until getting short of breath.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacyExercise3, I can exercise in cold weather .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacyExercise4,I can exercise in hot weather .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacyExercise5,I can exercise with friends after university .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacyExercise6, I can exercise instead of watching TV in leisure time .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacyExercise7,I can use stairs instead of elevators.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
BehavDiet1,I intend to control diet to reduce weight within six months.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
BehavDiet2,I intend to visit dietitian to reduce weight within six months .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
BehavDiet3,I intend to attend obese class if my college opens it.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
BehavExercises4,I intend to exercise by myself regularly to reduce weight within  six months .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
BehavExercises5,I intend to attend sport centre or class to reduce weight within six  months.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
