Age,Gender,Education,Religion,Political,Pregnant,Catch_response,FILTER,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12_Catch,Q13,Q14,Q15,Q16_Catch,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Mean_general_ds,Mean_core,Mean_Animal_reminder,Mean_Contamination
28,0,15,0,1,1,1,1,3,1,3,4,0,4,2,2,2,2,2,4,3,3,3,0,2,0,1,3,3,3,3,2,2,0,1,2.130434783,2.272727273,1.875,2.25
25,0,15,0,2,1,1,1,3,0,1,1,3,0,0,3,1,4,3,4,3,3,2,0,1,1,3,0,1,2,1,1,1,2,3,1.52173913,1.727272727,1.5,1
64,1,12,1,0,1,1,1,0,1,3,4,2,2,1,1,0,4,3,4,0,0,3,1,3,4,1,2,4,4,3,3,4,4,3,2.304347826,2.636363636,1.625,2.75
26,1,,2,0,1,0,0,4,2,2,1,1,2,3,2,1,2,2,4,2,2,2,2,1,0,4,2,3,0,0,1,2,0,2,,,,
29,1,16,2,0,1,1,1,3,0,1,0,0,0,2,2,4,4,0,4,0,0,1,0,3,2,2,1,2,3,1,2,1,0,2,1.304347826,1.272727273,1.125,1.75
22,1,12,1,2,1,1,1,3,3,1,4,1,2,4,4,2,4,1,4,2,2,3,0,2,2,4,3,2,2,0,3,1,1,3,2.304347826,2.272727273,2.5,2
19,1,12,0,0,1,1,1,0,2,3,0,4,1,0,0,1,4,0,4,0,2,0,0,1,3,4,3,4,2,3,4,2,0,4,2.043478261,1.727272727,2.625,1.75
29,0,16,0,1,1,1,1,2,3,4,4,4,4,4,3,3,4,4,4,4,3,2,0,1,0,4,3,4,4,3,4,2,1,1,2.869565217,2.636363636,3.375,2.5
56,0,17,1,0,1,1,1,0,3,1,4,0,1,4,4,4,0,3,4,4,4,3,0,2,1,2,0,4,3,1,3,1,0,1,2.434782609,2.363636364,2.5,2.5
28,0,12,1,1,1,1,1,0,4,3,4,3,1,4,3,3,0,0,4,4,4,4,0,4,2,4,4,4,4,4,4,4,3,4,3.391304348,3.454545455,3.375,3.25
37,1,18,0,2,1,1,1,0,2,3,1,0,0,2,3,2,4,0,4,4,0,2,1,1,0,2,3,2,4,2,1,1,0,2,1.652173913,2.090909091,1.25,1.25
19,0,12,0,1,1,1,1,0,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,3.52173913,3.363636364,3.5,4
57,0,,0,1,1,0,0,4,4,1,1,0,4,2,3,1,3,3,1,1,4,4,0,1,0,1,0,4,4,3,4,2,0,3,,,,
20,0,12,0,1,1,1,1,0,3,4,4,2,0,4,4,4,0,3,4,4,4,4,1,3,1,4,2,3,4,1,4,4,3,4,3.043478261,3.272727273,3,2.5
28,0,15,0,1,1,1,1,0,1,2,4,0,1,4,4,0,0,0,4,4,4,4,0,1,1,4,0,1,4,3,1,3,0,4,2.304347826,2.727272727,1.875,2
25,1,12,0,2,1,1,1,0,1,3,4,2,2,1,0,0,4,3,4,4,0,3,0,1,0,2,0,3,0,0,1,1,0,1,1.47826087,1.727272727,1.375,1
30,1,12,0,2,1,1,1,0,3,1,4,2,1,4,0,0,4,0,4,4,3,2,0,2,0,4,0,4,1,0,0,0,0,1,1.739130435,1.363636364,2.625,1
20,1,14,0,1,1,1,1,4,0,1,4,0,1,4,2,1,1,0,4,1,3,2,0,2,0,2,0,3,3,0,2,3,1,3,1.913043478,1.909090909,2.25,1.25
30,1,16,0,1,1,1,1,4,0,3,4,0,3,2,4,4,0,3,4,4,3,3,0,1,0,1,0,2,0,1,0,1,0,1,1.695652174,2,1,2.25
42,1,12,1,1,1,1,1,4,0,3,3,0,2,4,3,1,1,0,4,3,3,0,0,1,1,3,3,2,3,1,3,2,0,0,2,1.909090909,2.375,1.5
29,1,15,0,1,1,1,1,3,4,4,4,2,1,4,4,3,0,4,4,4,3,4,0,1,0,3,2,4,1,3,4,3,0,2,2.913043478,3,3,2.5
51,0,14,1,1,1,0,0,0,4,0,1,0,4,1,4,4,0,0,4,0,0,4,2,2,3,2,4,4,3,4,2,2,0,1,,,,
32,0,15,0,0,1,1,1,4,1,3,1,2,1,4,2,1,2,0,4,3,3,1,0,3,1,4,4,3,4,4,4,1,0,3,2.565217391,2.545454545,3,1.75
20,0,12,0,2,1,0,0,3,4,2,0,0,0,4,2,0,2,0,4,2,0,1,3,2,0,1,1,3,1,0,4,4,0,2,,,,
