,js_code,ct_code,country,KII,fs_complexityIND_wop,fs_cousin_pref_cont_est2,fs_polygyny_cont,fs_polygyny_cont_std2,fs_localdom_est,fs_lineage,fs_clan,fs_year,ChurchExpWest,ChurchExpEast,bit_consang,bit_c_ln,bit_collectperiod,hfs_idv_std,swz_embed_std,wvs_dp_s_creative_C_std,wvs_obedience,wvs_dp_s_tradition_C_std,wvs_dp_s_behave_C_std_,wvs_OutInTrust_std,wvs_trust_std,wvs_fair_std,wvs_religion_imp,wvs_family_ties_std,BloodEstPopVol,BloodfracFam,fm_lviol_pc,va_nepotism,htg_cP_perc,htg_cNfirstperiod_perc,ms_perc_errors,gel_Tightnessscore,tal_holistic,hru_particularism,gs_percent_high,ag_pd1,ag_pd1000,ag_pd1500,ag_pdiv_aa,ag_yst_aa,ag_abslat,ag_distcr,ag_continent,ag_ln_gdppc2000,ft_CombinedParasiteStress,bar_CATH00,bar_PROT00,bar_OTHCHRIST00,bar_ORTH00,bar_MUSLIM00,bar_HINDU00,bar_BUDDIS00,irri_impact5,du_caloricsui,du_oat_rain,du_rye_rain,nu_rugged,nu_lat,nu_lon,nu_tropical,geodist_coord1,geodist_coord2,gendist_coord1,gendist_coord2,tal_analytic,IIP
130,LSO,426.0,Lesotho,0.69623053,0.40996113,1.8980081,2.0,1.4295459,0.5169264,1.0,0.037776858,1859.8629,0.0,0.0,,,,,,,,,,,,,,,3.3141313,0.02341083,2.999411,,,,,,,,,0.07923805,0.23771414,0.47542828,0.7407268,1500.0,29.5,0.238319,Africa,7.514201070909262,1.2735659,0.375,0.177,0.359,0.0,0.001,0.001,0.0,0.0,1453.98,4820.09,7118.46,6.202061834696471,-29.580414618,28.2536202563,0.0,2005.1354,-4668.508,0.03666439,0.006321063,,-0.66278374
131,LTU,440.0,Lithuania,-0.7816593,-0.6133976,2.8245664e-05,0.00015005509,-1.1066078,0.8332833,0.0,0.00015005509,1929.9948,1.29533,0.2557,,,,0.9615313,,,21.033787,,,,0.08316326,-0.89305466,1.4822695,-2.622363,9.044864,0.0,1.1166039,-0.3,,,,,62.4,,69.014084,0.4192872,0.8385744,2.5157232,0.73473376,3987.4,56.0,0.0604537,Europe,9.122685338886452,-2.7139695,0.834,0.01,0.008,0.025,0.002,0.0,0.0,0.0,1375.13,6815.91,10855.4,0.17501567140522706,55.3358360227,23.9048207931,0.0,1666.4359,3696.2036,-0.013215013,-0.00986795,37.6,0.35186785
132,LUX,442.0,Luxembourg,-1.1894183,-1.1180592,0.0,0.0,-1.106798,0.3948614,0.0,0.0,1943.5381,9.49131,0.0,,,,0.9615313,,,28.142857,,,,0.14949135,0.47080097,1.27028,-0.7389281,40.42168,0.0,,-1.27,,,,,,,,8.469791,11.293055,35.290794,0.73070985,5657.5,49.75,0.0223941,Europe,10.78347256853817,-3.485585,0.902,0.017,0.015,0.003,0.01,0.0,0.0,0.0,1561.54,7350.32,11806.8,0.8812678568695973,49.7775847619,6.09480659777,0.0,-322.4165,3354.0557,-0.010565267,-0.0120219,,1.1571845
133,LVA,428.0,Latvia,-0.80251205,-0.63914865,1.0422535,0.0,-1.106798,0.5,0.0,0.0,1881.0,2.00634,0.99035996,,,,1.4164301,0.057582203,,22.261023,,,,-0.28437948,0.26576117,1.147414,-1.5543365,26.401627,0.03901692,0.0,-0.19,,,,,,,,0.4192872,0.8385744,2.5157232,0.7332302,4257.9,57.0,0.127878,Europe,9.10476989394798,-2.3424547,0.19,0.218,0.047,0.216,0.004,0.0,0.0,0.0,1286.05,6862.96,10269.6,0.15447038352697542,56.8541886108,24.9313659501,0.0,1782.3368,3788.7212,-0.013215013,-0.00986795,,0.80843884
134,MAC,446.0,Macao Special Administrative Region of China,0.118820205,0.09825871,0.0,1.0,0.16137387,0.8333333,1.0,0.0,1940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,10.095115889372696,,,,,,,,,,1819.16,3505.5,4458.22,0.7319440980095742,22.1687513311,113.555349593,0.0,11595.485,688.5025,,,,
135,MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,MAR,504.0,Morocco,0.74075705,1.0443552,2.8725486,0.56262934,-0.39328733,0.68293047,1.0,0.20844537,1917.3181,0.33200002,0.0,19.9,2.9907198,1987.0,0.3246729,,-0.39035362,44.919197,1.3020679,-0.09757244,-1.6269875,-0.71402466,-1.6556839,2.9021113,1.149832,5.45734,0.3120336,4.12335,1.31,,,,,,,78.985504,2.2406454,4.481291,3.3609679,0.73287797,3799.5,32.0,0.178334,Africa,8.221491925668289,-0.12183861,0.001,0.0,0.005,0.0,0.983,0.0,0.0,0.31714785,767.596,2984.77,4462.32,2.412564563362035,31.8815262121,-6.3015654488,0.0,-1728.2443,1878.5927,-0.000644576,-0.0066682617,,-0.7802623
137,MCO,492.0,Monaco,-1.5565428,-1.572484,0.0,0.0,-1.106798,0.0,0.0,0.0,1930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.733334,,Europe,,-3.1224854,0.893,0.03,0.006,0.003,0.004,0.0,0.0,,1823.46,7123.39,10777.7,6.612056848315743,43.7527995983,7.4218485206,0.0,-182.70132,2892.1829,,,,
138,MDA,498.0,Republic of Moldova,-1.2464359,-1.1886352,0.09602229,0.0,-1.106798,0.26209334,0.0,0.07732685,1904.4884,0.14254299,1.844168,,,,,,0.53368455,29.977877,1.1096399,0.3680756,-0.124822676,-0.69724876,-0.6183775,2.0176795,0.05352113,8.51681,0.58758813,0.50579077,0.35,,,,,,,,0.4192872,0.8385744,2.5157232,0.74057055,6896.41,47.0,0.0280568,Europe,7.704178214774795,-2.0532525,0.017,0.018,0.208,0.445,0.055,0.0,0.0,0.05520557,2545.52,6712.36,12188.7,0.7992944457264437,47.2046358927,28.4682047461,0.0,2164.4988,3120.817,-0.009485587,-0.012628877,,-0.012826845
139,MDG,450.0,Madagascar,0.78037107,0.58734584,0.36344174,1.8182791,1.1990925,0.79761285,1.0,0.6365583,1908.921,0.05964,0.0,,,,,,,,,,,,,,,0.18130627,0.83217025,2.2835088,0.78,,,,,,,,,0.34391442,1.2037005,0.7496433,2033.0,20.0,0.097816594,Africa,6.712812960161408,2.263336,0.204,0.245,0.046,0.0,0.02,0.001,0.0,0.009808794,1852.81,0.0,0.0,1.1693859734420267,-19.3793759442,46.7003129852,65.22437388940375,4076.1707,-3676.78,-0.002581787,0.017949618,,-0.60597795
